MASS_PLANET_OBS   MASS_PLANET_SIGMA RADIUS_PLANET RADIUS_PLANET_SIGMA PERIOD ENFRAC  H_OBS  H_SIGMA  K_OBS K_SIGMA
14.7 2.2 1.93 0.23 27.4645 1.e-05 -0.04  0.15 -0.16  0.13
 3.3 3.2 2.06 0.25  5.6668 9.e-03 -0.23  0.13  0.13  0.36
 1.2 1.8 1.25 0.15 17.2718 4.e-04 -0.27  0.11  0.03  0.31
 2.7 1.3 1.30 0.16  5.6032 1.e-05  0.05  0.20  0.01  0.25
29.3 2.0 2.68 0.32  9.8806 4.e-03 -0.05  0.21 -0.31  0.33
14.1 2.5 2.11 0.25  1.8358 5.e-04  0.09  0.18 -0.03  0.10
 8.1 5.3 1.70 0.20  6.0318 1.e-05 -0.03  0.21 -0.10  0.27
27.4 2.3 3.71 0.45  4.9494 6.e-02 -0.13  0.23  0.20  0.33
29.8 5.2 2.52 0.30 90.1334 1.e-03 -0.25  0.16 -0.25  0.38
 2.2 2.7 1.49 0.18 45.8069 9.e-04 -0.31  0.17  0.01  0.30
 4.4 2.1 1.52 0.18  3.6315 1.e-04 -0.14  0.07  0.00  0.36
21.2 4.4 2.09 0.25  8.3532 1.e-05  0.20  0.07  0.24  0.17
11.2 4.1 2.59 0.31 72.3687 2.e-02  0.01  0.14 -0.01  0.26
18.8 5.6 2.04 0.24  2.8404 1.e-05  0.04  0.22  0.02  0.37
 3.0 4.1 1.34 0.16  2.1837 1.e-05 -0.02  0.21  0.01  0.15
28.9 2.7 2.37 0.28 94.4694 6.e-04  0.01  0.24 -0.14  0.23
23.8 4.0 2.14 0.26 27.0178 1.e-05 -0.07  0.24 -0.19  0.18
 1.7 4.0 1.15 0.14 20.7802 2.e-05 -0.10  0.07  0.05  0.16
 6.6 1.7 2.63 0.32 46.3346 3.e-02  0.16  0.18 -0.05  0.11
 1.4 4.8 1.12 0.13 11.2616 6.e-05  0.06  0.22  0.28  0.12
18.6 5.5 2.06 0.25  7.3554 9.e-05 -0.13  0.13 -0.11  0.40
 2.5 3.4 1.27 0.15  1.5097 1.e-05 -0.06  0.24 -0.02  0.22
 4.8 5.0 2.06 0.25 28.0717 7.e-03 -0.06  0.14  0.10  0.32
26.4 3.0 2.19 0.26 11.8698 2.e-05  0.08  0.12  0.29  0.21
 9.5 6.0 2.01 0.24 49.8248 1.e-03 -0.08  0.13  0.05  0.28
13.1 1.1 1.94 0.23 49.8277 2.e-04 -0.14  0.07 -0.33  0.17
26.1 2.6 2.18 0.26 11.4307 2.e-05  0.00  0.23 -0.17  0.38
12.9 3.3 2.35 0.28  7.5528 5.e-03 -0.17  0.21 -0.03  0.34
15.4 4.6 3.89 0.47  3.8369 9.e-02 -0.30  0.15  0.31  0.37
12.2 3.1 1.87 0.22 80.3248 7.e-05 -0.05  0.17 -0.19  0.29
 2.9 1.2 1.33 0.16 67.0539 3.e-05  0.16  0.08 -0.03  0.22
 2.2 4.0 2.04 0.24 36.0777 9.e-03  0.41  0.11  0.10  0.24
 3.6 3.7 1.74 0.21 47.9647 2.e-03 -0.27  0.08  0.12  0.30
 2.4 5.1 2.59 0.31 47.0681 3.e-02  0.09  0.18 -0.28  0.23
17.9 5.0 2.03 0.24  3.4428 4.e-05  0.08  0.15  0.30  0.37
 2.7 4.0 1.29 0.15  6.2507 1.e-05  0.06  0.17 -0.22  0.14
13.8 1.5 2.15 0.26 26.8996 1.e-03  0.09  0.21 -0.23  0.17
22.6 3.6 2.40 0.29 59.3103 2.e-03  0.06  0.07  0.19  0.11
 3.4 1.6 1.62 0.19 21.5043 7.e-04 -0.29  0.16  0.10  0.27
29.7 2.7 2.25 0.27  3.5124 1.e-05  0.06  0.11  0.29  0.25
 1.4 5.7 1.31 0.16 70.8216 8.e-04 -0.16  0.19  0.32  0.28
17.3 5.5 2.05 0.25  5.6939 2.e-04  0.12  0.25  0.02  0.21
12.9 1.8 2.01 0.24 15.1526 6.e-04  0.29  0.08 -0.21  0.35
12.2 1.4 1.86 0.22  8.2604 2.e-05  0.02  0.16 -0.01  0.12
m    merr  r  rerr period  enfrac  h     herr  k     kerr
22.6 3.2 2.53 0.30 51.8375 5.e-03  0.03  0.22 -0.12  0.38
11.8 5.6 1.86 0.22 98.1371 8.e-05  0.04  0.19  0.01  0.37
29.3 5.6 3.22 0.39  1.0252 2.e-02  0.33  0.20 -0.21  0.25
 5.5 4.9 1.78 0.21  1.5115 7.e-02 -0.24  0.18 -0.16  0.34
 5.7 2.2 1.57 0.19 17.3401 1.e-05  0.07  0.15  0.00  0.38
 2.1 5.9 1.95 0.23 19.8751 5.e-03  0.00  0.17 -0.23  0.26
 6.8 1.3 2.27 0.27 49.7911 1.e-02  0.03  0.16 -0.07  0.29
17.5 1.7 2.01 0.24  4.9841 1.e-05  0.03  0.16 -0.03  0.20
 2.6 5.2 1.37 0.16 10.0663 2.e-04  0.19  0.06  0.28  0.34
 2.4 1.7 3.11 0.37 40.5104 4.e-02 -0.17  0.06 -0.10  0.33
 2.5 4.6 2.57 0.31 75.8170 3.e-02 -0.23  0.15 -0.09  0.25
 6.9 2.3 2.57 0.31 39.5599 2.e-02 -0.22  0.19  0.33  0.27
14.0 5.4 1.91 0.23 18.4627 1.e-05  0.31  0.23  0.07  0.23
 3.6 4.2 1.47 0.18  8.3664 2.e-04  0.27  0.24 -0.07  0.26
 2.1 3.1 1.62 0.19 48.8250 2.e-03 -0.25  0.11 -0.20  0.18
 3.3 5.3 1.63 0.20  6.8920 8.e-04 -0.15  0.23 -0.28  0.13
 5.5 2.8 1.56 0.19 14.8506 3.e-05 -0.20  0.07  0.18  0.29
 1.3 1.2 1.08 0.13  6.5368 2.e-05 -0.16  0.19 -0.04  0.34
 1.3 4.9 1.45 0.17  7.5197 3.e-03 -0.07  0.13  0.00  0.15
26.6 3.1 2.20 0.26 57.1085 3.e-05  0.16  0.23 -0.35  0.31
 3.0 4.7 2.55 0.31 11.0947 2.e-02 -0.26  0.18  0.36  0.12
27.3 5.3 3.78 0.45 10.5227 6.e-02  0.19  0.24 -0.23  0.22
 7.6 1.8 1.68 0.20  3.0626 4.e-05  0.17  0.12 -0.30  0.16
28.0 5.0 2.52 0.30 22.2846 2.e-03  0.05  0.10  0.00  0.40
 5.6 4.3 1.74 0.21 16.4684 6.e-04 -0.20  0.13 -0.08  0.22
 2.2 3.0 1.23 0.15 10.6254 1.e-05 -0.20  0.14  0.11  0.18
13.5 4.9 1.91 0.23 21.9991 6.e-05 -0.30  0.15  0.23  0.25
 1.4 2.2 1.47 0.18 88.7506 1.e-03  0.08  0.07  0.39  0.22
 2.7 2.8 1.30 0.16 37.4960 2.e-05  0.10  0.24 -0.43  0.32
10.5 2.5 1.88 0.23 38.7145 4.e-04 -0.20  0.24 -0.38  0.28
